,0,1,2,3,4,5,6,7,8,9
cbo,0.0344135996131925,0.03493834701834964,0.029385328869387335,0.022918842577913653,0.031082501736746485,0.038123645737197114,0.029925513960304996,0.03771236395622073,0.03584679944579597,0.03653847493308965
wmc,0.017671175850913306,0.008949362322085748,0.010221928740384481,0.012060733629191626,0.008895937725625162,0.012635970884731647,0.011128559530879534,0.015153417258401908,0.01789186902188506,0.010818550128485645
dit,0.020515403833399525,0.02231472101062346,0.015601072116159216,0.014843070757996474,0.018632672691480362,0.015604654619143572,0.017802786483874625,0.010713593228247628,0.018748316736891785,0.017469704420107503
noc,0.0036309068188129503,0.003153000343533094,0.0024563519772274156,0.0026800931192483544,0.0049130257797738155,0.005151907513779839,0.0030688796994875304,0.0018506276709004317,0.004226827596869722,0.002976747990052547
rfc,0.07409835289676062,0.09306553629010239,0.06216719548918454,0.10019247049551672,0.07690408574181548,0.08137744415278046,0.07429116147023686,0.09191311788686402,0.12798481147405386,0.09987800811609554
lcom,0.013730699354069927,0.011600094035716163,0.013074365568178628,0.010864125791913207,0.013718136759057654,0.007876214757473281,0.007226115825885318,0.016729461792112085,0.010575611061189514,0.011853944324657403
nom,0.018029431461014298,0.012340156969886773,0.01730677632292368,0.008230248510189296,0.018833517493399975,0.02209850750407151,0.016823010479229517,0.012245776532458839,0.011576648978462644,0.012741090227667597
nopm,0.024864823170599005,0.03151698079054977,0.023179905627237877,0.018365490347227134,0.04175188748589494,0.026121487287607936,0.025254115020553032,0.022048939622645303,0.03768146790827959,0.03259927528482767
nosm,0.009568296774241244,0.005950474600049905,0.007311941901653392,0.004201994554333264,0.008332660551965495,0.003951999479761414,0.006326453830781866,0.005178168068677479,0.0074839981685432,0.0058781713354646515
nof,0.011132588564191446,0.013116877604122413,0.00814339863467162,0.00685894849395414,0.006895805888476795,0.008077232080502098,0.003211127664057749,0.009592725196457616,0.011585126431582594,0.008501806970668381
nopf,0.002497226406152506,0.001054203946387682,0.0033443329696085963,0.002574208033504163,0.003841001221368685,0.0034672375009791134,0.0051126881856884306,0.0032883309327108147,0.0022164889303720905,0.00281705687820359
nosf,0.0060964454908377895,0.0030314675205256373,0.004832111577401119,0.006794137180518912,0.004456098052681328,0.006324176197244948,0.006653865025118459,0.007834696828324961,0.008683060394623384,0.007862229514788452
nosi,0.013308224007671,0.012918461138455394,0.01613546041014155,0.008685314455661886,0.011000289246985508,0.013420905223277579,0.0119031730452173,0.013002815691516083,0.011559420649421252,0.01039369726366288
loc,0.02085548518935517,0.017976438265656904,0.019085767391725465,0.01385773260637119,0.023390673714304772,0.01029417795324655,0.022762477068230983,0.018235925397541805,0.019342009909228828,0.016010417127858327
vocabulary,0.02448234141028269,0.01644589232571723,0.017404766526816093,0.02596063103766704,0.027759477254865828,0.01250147112192701,0.02164802896758801,0.020615954348919156,0.023340565196657274,0.016064012906338326
length,0.01371878788401479,0.008729572347535327,0.006261310201039238,0.01822245868253126,0.010977939464565278,0.009795061753866723,0.011811779561038654,0.012842766110456651,0.011896768022406343,0.013991958903613044
calculated_length,0.018790735823736734,0.02967412803859815,0.0370304103225014,0.016223498335804897,0.027652392639276952,0.018559338537483854,0.020210715823541565,0.0431515398101957,0.012802333204335296,0.025724235526928006
volume,0.010428362254153362,0.008226875670445164,0.01200866287547963,0.01246779060657401,0.010867036410442824,0.009805207418855483,0.007118100769598864,0.011288293743302504,0.0059362227752966295,0.009715808454858175
difficulty,0.01608264389316172,0.022311303476653915,0.014070465556604819,0.01563104646981047,0.02441487353330475,0.013152208164557968,0.019128190467040396,0.014824852173652165,0.01839024313043392,0.023570444507447542
effort,0.008437534525270587,0.008353280813307513,0.015012204074701973,0.010552055323048967,0.009340652938247403,0.009979479416748394,0.004927436827860693,0.007870601582932832,0.007724654281988062,0.012075834222935454
time,0.007601605094120939,0.0049667396882065225,0.014324729770552635,0.01301171527054138,0.006083763046186665,0.006064927296992755,0.007806665508968984,0.012862312791191755,0.005621813735351915,0.00646585830957828
