branch_coverage,class,project
0.8461538461538461,org.apache.commons.math3.primes.Primes,math
0.7678571428571429,org.apache.commons.math3.stat.Frequency,math
0.5,org.apache.commons.math3.optimization.Weight,math
0.8673469387755102,org.apache.commons.math3.util.CombinatoricsUtils,math
0.8015267175572519,org.apache.commons.math3.util.Precision,math
1.0,org.apache.commons.math3.optimization.PointValuePair,math
0.2222222222222222,org.apache.commons.math3.optimization.direct.SimplexOptimizer,math
1.0,org.apache.commons.math3.optim.univariate.SearchInterval,math
0.7857142857142857,org.apache.commons.math3.transform.TransformUtils,math
1.0,org.apache.commons.math3.util.IterationManager,math
0.9642857142857143,org.apache.commons.math3.special.Erf,math
0.9333333333333333,org.apache.commons.math3.stat.correlation.PearsonsCorrelation,math
0.55,org.apache.commons.math3.util.Pair,math
1.0,org.apache.commons.math3.ode.nonstiff.AdamsNordsieckTransformer,math
1.0,org.apache.commons.math3.random.UnitSphereRandomVectorGenerator,math
0.9583333333333334,org.apache.commons.math3.util.MultidimensionalCounter,math
1.0,org.apache.commons.math3.random.HaltonSequenceGenerator,math
1.0,org.apache.commons.math3.util.Decimal64,math
0.75,org.apache.commons.math3.stat.descriptive.moment.Kurtosis,math
0.9,org.apache.commons.math3.stat.interval.IntervalUtils,math
0.8333333333333334,org.apache.commons.math3.random.SobolSequenceGenerator,math
0.06944444444444445,org.apache.commons.math3.optimization.direct.CMAESOptimizer,math
1.0,org.apache.commons.math3.stat.correlation.KendallsCorrelation,math
0.9166666666666666,org.apache.commons.math3.stat.inference.WilcoxonSignedRankTest,math
0.8333333333333334,org.apache.commons.math3.stat.interval.ConfidenceInterval,math
1.0,org.apache.commons.math3.optim.MaxEval,math
0.6,org.apache.commons.math3.optimization.SimpleValueChecker,math
1.0,org.apache.commons.math3.random.RandomAdaptor,math
0.13157894736842105,org.apache.commons.math3.ode.sampling.NordsieckStepInterpolator,math
0.5,org.apache.commons.math3.optimization.SimpleVectorValueChecker,math
0.375,org.apache.commons.math3.stat.descriptive.AggregateSummaryStatistics,math
0.9777777777777777,org.apache.commons.math3.special.Gamma,math
0.9,org.apache.commons.math3.stat.inference.MannWhitneyUTest,math
1.0,org.apache.commons.math3.optimization.PointVectorValuePair,math
0.5,org.apache.commons.math3.optim.linear.SolutionCallback,math
0.75,org.apache.commons.math3.stat.descriptive.StatisticalSummaryValues,math
1.0,org.apache.commons.math3.optim.linear.LinearConstraintSet,math
0.029411764705882353,org.apache.commons.math3.ode.sampling.StepNormalizer,math
0.25,org.apache.commons.math3.optimization.direct.NelderMeadSimplex,math
0.1875,org.apache.commons.math3.optimization.direct.PowellOptimizer,math
0.8709677419354839,org.apache.commons.math3.stat.regression.SimpleRegression,math
0.8333333333333334,org.apache.commons.math3.util.Combinations,math
1.0,org.apache.commons.math3.util.Incrementor,math
0.058823529411764705,org.apache.commons.math3.ode.events.EventState,math
0.05405405405405406,org.apache.commons.math3.optimization.univariate.BrentOptimizer,math
0.07894736842105263,org.apache.commons.math3.util.KthSelector,math
1.0,org.apache.commons.math3.random.RandomGeneratorFactory,math
0.041666666666666664,org.apache.commons.math3.random.StableRandomGenerator,math
0.95,org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapter,math
0.8382352941176471,org.apache.commons.math3.util.OpenIntToDoubleHashMap,math
1.0,org.apache.commons.math3.stat.clustering.EuclideanDoublePoint,math
0.9772727272727273,org.apache.commons.math3.special.BesselJ,math
0.10869565217391304,org.apache.commons.math3.optimization.univariate.BracketFinder,math
