A,Ca,Ce,D,I,V,class,project
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$1,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$10,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$11,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$12,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$13,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$14,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$15,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$16,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$17,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$18,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$2,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$3,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$4,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$5,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$6,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$7,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$8,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$9,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffResult,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.EqualsBuilder,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.HashCodeBuilder,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.IDKey,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.MultilineRecursiveToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.RecursiveToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ReflectionDiffBuilder,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ReflectionToStringBuilder,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.StandardToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringBuilder,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringStyle$DefaultToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringStyle$JsonToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringStyle$MultiLineToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringStyle$NoClassNameToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringStyle$NoFieldNameToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringStyle$ShortPrefixToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringStyle$SimpleToStringStyle,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.AbstractCircuitBreaker,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.AbstractCircuitBreaker$State,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.AtomicInitializer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.AtomicSafeInitializer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.BackgroundInitializer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.CircuitBreaker,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.Computable,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.ConcurrentInitializer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategy,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.LazyInitializer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.AbstractCircuitBreaker$1,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.AbstractCircuitBreaker$State$1,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.AbstractCircuitBreaker$State$2,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.BackgroundInitializer$InitializationTask,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.BasicThreadFactory,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.BasicThreadFactory$1,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.BasicThreadFactory$Builder,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.CallableBackgroundInitializer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.CircuitBreakingException,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.ConcurrentException,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.ConcurrentRuntimeException,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.ConcurrentUtils,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.ConcurrentUtils$ConstantFuture,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.ConstantInitializer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$1,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$CheckIntervalData,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyClosed,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyOpen,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.Memoizer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.Memoizer$1,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer$1,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer$MultiBackgroundInitializerResults,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.TimedSemaphore,lang
0.27,0.0,7.0,0.27,1.0,1.0,org.apache.commons.lang3.concurrent.TimedSemaphore$1,lang
0.0,0.0,7.0,0.0,1.0,1.0,org.apache.commons.lang3.event.EventListenerSupport,lang
0.0,0.0,7.0,0.0,1.0,1.0,org.apache.commons.lang3.event.EventListenerSupport$ProxyInvocationHandler,lang
0.0,0.0,7.0,0.0,1.0,1.0,org.apache.commons.lang3.event.EventUtils,lang
0.0,0.0,7.0,0.0,1.0,1.0,org.apache.commons.lang3.event.EventUtils$EventBindingInvocationHandler,lang
0.17,2.0,6.0,0.08,0.75,1.0,org.apache.commons.lang3.exception.ExceptionContext,lang
0.17,2.0,6.0,0.08,0.75,1.0,org.apache.commons.lang3.exception.CloneFailedException,lang
0.17,2.0,6.0,0.08,0.75,1.0,org.apache.commons.lang3.exception.ContextedException,lang
0.17,2.0,6.0,0.08,0.75,1.0,org.apache.commons.lang3.exception.ContextedRuntimeException,lang
0.17,2.0,6.0,0.08,0.75,1.0,org.apache.commons.lang3.exception.DefaultExceptionContext,lang
0.17,2.0,6.0,0.08,0.75,1.0,org.apache.commons.lang3.exception.ExceptionUtils,lang
0.0,2.0,4.0,0.33,0.67,1.0,org.apache.commons.lang3.math.Fraction,lang
0.0,2.0,4.0,0.33,0.67,1.0,org.apache.commons.lang3.math.IEEE754rUtils,lang
0.0,2.0,4.0,0.33,0.67,1.0,org.apache.commons.lang3.math.NumberUtils,lang
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.Mutable,lang
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.MutableBoolean,lang
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.MutableByte,lang
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.MutableDouble,lang
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.MutableFloat,lang
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.MutableInt,lang
