A,Ca,Ce,D,I,V,class,project
0.0,1.0,20.0,0.05,0.95,1.0,org.apache.cassandra.auth.jmx.AuthenticationProxy$JMXCallbackHandler,cassandra
0.0,1.0,20.0,0.05,0.95,1.0,org.apache.cassandra.auth.jmx.AuthorizationProxy,cassandra
0.0,1.0,20.0,0.05,0.95,1.0,org.apache.cassandra.auth.jmx.AuthorizationProxy$JMXPermissionsCache,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.BatchlogManagerMBean,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.Batch,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.Batch$Serializer,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.BatchRemoveVerbHandler,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.BatchStoreVerbHandler,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.BatchlogManager,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.BatchlogManager$EndpointFilter,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch$ReplayWriteResponseHandler,cassandra
0.1,4.0,29.0,0.02,0.88,1.0,org.apache.cassandra.batchlog.LegacyBatchlogMigrator,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.AutoSavingCache$CacheSerializer,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.AutoSavingCache$IStreamFactory,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.CacheKey,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.CacheProvider,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.CacheSize,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.ICache,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.IMeasurableMemory,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.IRowCacheEntry,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.AutoSavingCache,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.AutoSavingCache$1,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.AutoSavingCache$2,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.AutoSavingCache$3,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.AutoSavingCache$4,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.AutoSavingCache$Writer,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.ChunkCache,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.ChunkCache$Buffer,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.ChunkCache$CachingRebufferer,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.ChunkCache$Key,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.ConcurrentLinkedHashCache,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.ConcurrentLinkedHashCache$1,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.CounterCacheKey,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.InstrumentingCache,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.KeyCacheKey,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.NopCacheProvider,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.NopCacheProvider$1,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.NopCacheProvider$NopCache,cassandra
