A,Ca,Ce,D,I,V,class,project
0.93,1.0,9.0,0.83,0.9,1.0,org.joda.time.base.BaseDuration,time
0.93,1.0,9.0,0.83,0.9,1.0,org.joda.time.base.BaseInterval,time
0.93,1.0,9.0,0.83,0.9,1.0,org.joda.time.base.BaseLocal,time
0.93,1.0,9.0,0.83,0.9,1.0,org.joda.time.base.BasePartial,time
0.93,1.0,9.0,0.83,0.9,1.0,org.joda.time.base.BasePeriod,time
0.93,1.0,9.0,0.83,0.9,1.0,org.joda.time.base.BaseSingleFieldPeriod,time
0.93,1.0,9.0,0.83,0.9,1.0,org.joda.time.base.BasePeriod$1,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.AssembledChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BaseChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicFixedMonthChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicGJChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.AssembledChronology$Fields,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicChronology$HalfdayField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicChronology$YearInfo,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicDayOfMonthDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicDayOfYearDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicMonthOfYearDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicSingleEraDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicWeekyearDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BasicYearDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.BuddhistChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.CopticChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.EthiopicChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJCacheKey,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJChronology$CutoverField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJChronology$ImpreciseCutoverField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJChronology$LinkedDurationField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJDayOfWeekDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJEraDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJLocaleSymbols,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJMonthOfYearDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GJYearOfEraDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.GregorianChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.ISOChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.ISOChronology$Stub,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.ISOYearOfEraDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.IslamicChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.IslamicChronology$LeapYearPatternType,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.JulianChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.LenientChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.LimitChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.LimitChronology$LimitDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.LimitChronology$LimitDurationField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.LimitChronology$LimitException,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.StrictChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.ZonedChronology,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,time
0.11,4.0,8.0,0.22,0.67,1.0,org.joda.time.chrono.ZonedChronology$ZonedDurationField,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.AbstractConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.Converter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.DurationConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.InstantConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.IntervalConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.PartialConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.PeriodConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.CalendarConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.ConverterManager,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.ConverterSet,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.ConverterSet$Entry,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.DateConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.LongConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.NullConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.ReadableDurationConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.ReadableInstantConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.ReadableIntervalConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.ReadablePartialConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.ReadablePeriodConverter,time
0.35,2.0,6.0,0.1,0.75,1.0,org.joda.time.convert.StringConverter,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.AbstractPartialFieldProperty,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.AbstractReadableInstantFieldProperty,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.BaseDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.BaseDurationField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.DecoratedDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.ImpreciseDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.PreciseDurationDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.DecoratedDurationField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.DelegatedDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.DelegatedDurationField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.DividedDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.FieldUtils,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.LenientDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.MillisDurationField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.OffsetDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.PreciseDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.PreciseDurationField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.RemainderDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.ScaledDurationField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.SkipDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.SkipUndoDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.StrictDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.UnsupportedDateTimeField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.UnsupportedDurationField,time
0.27,5.0,5.0,0.23,0.5,1.0,org.joda.time.field.ZeroIsMaxDateTimeField,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeParser,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimePrinter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.InternalParser,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.InternalPrinter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$IgnorableAffix,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$PeriodFieldAffix,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodParser,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodPrinter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormat,time
