A,Ca,Ce,D,I,V,class,project
1.0,0.0,2.0,1.0,1.0,1.0,com.google.common.annotations.Beta,guava
1.0,0.0,2.0,1.0,1.0,1.0,com.google.common.annotations.GwtCompatible,guava
1.0,0.0,2.0,1.0,1.0,1.0,com.google.common.annotations.GwtIncompatible,guava
1.0,0.0,2.0,1.0,1.0,1.0,com.google.common.annotations.VisibleForTesting,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.AbstractIterator,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CaseFormat,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$FastMatcher,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$NamedFastMatcher,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CommonMatcher,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CommonPattern,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Converter,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Equivalence,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.ExtraObjectsMethodsForWeb,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.FinalizablePhantomReference,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.FinalizableReference,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.FinalizableReferenceQueue$FinalizerLoader,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.FinalizableSoftReference,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.FinalizableWeakReference,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Function,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Optional,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.PatternCompiler,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Predicate,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Predicates$ObjectPredicate,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Splitter$SplittingIterator,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Splitter$Strategy,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Supplier,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Suppliers$SupplierFunction,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Ticker,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.package-info,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Absent,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.AbstractIterator$1,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.AbstractIterator$State,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Ascii,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CaseFormat$1,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CaseFormat$2,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CaseFormat$3,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CaseFormat$4,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CaseFormat$5,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CaseFormat$StringConverter,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$1,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$And,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$Any,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$AnyOf,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$Ascii,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$BitSetMatcher,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$BreakingWhitespace,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$Digit,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$ForPredicate,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$InRange,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$Invisible,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$Is,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$IsEither,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$IsNot,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$JavaDigit,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$JavaIsoControl,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$JavaLetter,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$JavaLetterOrDigit,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$JavaLowerCase,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$JavaUpperCase,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$Negated,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$NegatedFastMatcher,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$None,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$Or,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$RangesMatcher,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$SingleWidth,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.CharMatcher$Whitespace,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Charsets,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Converter$1,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Converter$1$1,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Converter$ConverterComposition,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Converter$FunctionBasedConverter,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Converter$IdentityConverter,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Converter$ReverseConverter,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Defaults,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Enums,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Enums$StringConverter,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Equivalence$1,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Equivalence$Equals,guava
0.16,13.0,12.0,0.36,0.48,1.0,com.google.common.base.Equivalence$EquivalentToPredicate,guava
