project,class,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
guava,com.google.common.util.concurrent.AbstractFuture,249,1612,1912.6516999975413,12831.523114493744,36.278481012658226,465508.16767264646,25861.564870702583,4.277174371497916
guava,com.google.common.util.concurrent.ForwardingBlockingQueue,31,104,,515.2364162802352,0.0,0.0,0.0,0.17174547209341168
guava,com.google.common.util.concurrent.CollectionFuture,66,212,373.3846180657729,1281.4115533039924,6.557377049180328,8402.698710190112,466.81659501056185,0.427137184434664
guava,com.google.common.util.concurrent.TrustedListenableFutureTask,53,148,283.1207823616452,847.7322272753537,5.6734693877551035,4809.582840460169,267.1990466922316,0.2825774090917845
guava,com.google.common.util.concurrent.WrappingScheduledExecutorService,31,108,147.20671786825557,535.0532015217826,0.0,0.0,0.0,0.17835106717392754
guava,com.google.common.util.concurrent.RateLimiter,99,360,609.559556304883,2386.5683832286595,18.707865168539325,44647.59952894066,2480.422196052258,0.7955227944095532
guava,com.google.common.util.concurrent.AbstractExecutionThreadService,74,207,446.2346001038465,1285.3568466851927,2.8194444444444446,3623.992220515197,201.33290113973317,0.4284522822283976
guava,com.google.common.util.concurrent.ThreadFactoryBuilder,65,233,369.77497759133615,1403.2117004356298,6.786885245901638,9523.436786563127,529.0798214757292,0.4677372334785433
guava,com.google.common.util.concurrent.AtomicLongMap,91,570,556.6061479678191,3709.4429449132567,18.178571428571427,67432.37353431598,3746.242974128666,1.2364809816377522
guava,com.google.common.util.concurrent.FutureCallback,20,31,,133.97977094150824,0.0,0.0,0.0,0.04465992364716941
guava,com.google.common.util.concurrent.UncaughtExceptionHandlers,44,88,233.32938445219017,480.4299824400821,0.0,0.0,0.0,0.16014332748002738
guava,com.google.common.util.concurrent.Platform,19,28,,118.9419703764204,0.0,0.0,0.0,0.0396473234588068
guava,com.google.common.util.concurrent.AbstractService,159,761,1108.8753904977357,5565.103928971394,23.28859060402685,129603.42707067609,7200.19039281534,1.8550346429904647
guava,com.google.common.util.concurrent.ForwardingExecutorService,41,190,,1017.9348808774361,0.0,0.0,0.0,0.3393116269591453
guava,com.google.common.util.concurrent.CycleDetectingLockFactory,204,1039,1499.3323501471161,7971.649930308384,29.90625,238402.1557282851,13244.56420712695,2.657216643436128
guava,com.google.common.util.concurrent.ForwardingBlockingDeque,37,174,,906.4448856194373,0.0,0.0,0.0,0.3021482952064791
guava,com.google.common.util.concurrent.Service,42,100,,539.2317422778759,0.0,0.0,0.0,0.17974391409262536
guava,com.google.common.util.concurrent.AggregateFutureState,57,218,315.5188126189908,1271.5700230879138,3.7592592592592586,4780.1613830897495,265.56452128276385,0.4238566743626379
guava,com.google.common.util.concurrent.ListeningScheduledExecutorService,29,75,,364.348574634568,0.0,0.0,0.0,0.12144952487818933
guava,com.google.common.util.concurrent.UncheckedTimeoutException,19,39,75.05865002596161,165.66917302429982,0.0,0.0,0.0,0.05522305767476661
guava,com.google.common.util.concurrent.ExecutionError,18,39,69.48686830125578,162.62707505625016,0.0,0.0,0.0,0.05420902501875005
guava,com.google.common.util.concurrent.Callables,54,178,303.57978409184966,1024.3699753850974,0.0,0.0,0.0,0.34145665846169915
