,0,1,2,3,4,5,6,7,8,9
cbo,0.04344872306543837,0.04330572866722687,0.045031401307658495,0.05603140171281851,0.045454588179169295,0.04279689039081611,0.040503110080491955,0.06467226150427519,0.05598137064164307,0.043745397627568065
wmc,0.010280827393806683,0.012614241147990854,0.01144138543061416,0.014060538018340677,0.011720470825029342,0.011053841746205157,0.012146188630359454,0.013496176686032483,0.010207830085482617,0.011572131547114842
dit,0.01652792718811178,0.013132335374599426,0.018324550108323998,0.01704719952948236,0.01782492319787426,0.018707177753438796,0.016449679439868543,0.015298445275911584,0.014705634901781941,0.017110073026799087
noc,0.003502835833137748,0.004663488038005745,0.00422770836716619,0.003269639540421343,0.00527762107853328,0.0034525856112413967,0.0044459500147854495,0.004821502844171159,0.0034245379130359585,0.004624144177832548
rfc,0.10162120892687151,0.14104843057005995,0.11020354929944134,0.08001421742625932,0.13097392638181893,0.14051664793141486,0.14317089790616197,0.12841991941705938,0.10733205648009972,0.10269510944599596
lcom,0.011617693351541836,0.01249755566181922,0.012302783684520393,0.011708944446124385,0.011937607540495195,0.01312004615687593,0.011419569121720697,0.009754446944259119,0.010185355166374,0.01246616810601803
nom,0.012502933072527245,0.013681273314793083,0.01712473326285182,0.014282263011211754,0.01591208702045231,0.015907146400428153,0.01569639002203737,0.01203753858214467,0.014479443385024849,0.018848493972113207
nopm,0.019915141342522407,0.020451825984221846,0.01617982733791301,0.022097641160750494,0.02314413514938047,0.02168306534157661,0.019848024173382956,0.021540191666665053,0.02020891415456972,0.01906090274832104
nosm,0.007075316611524285,0.005915066539877252,0.0072970864413500385,0.007279716604581159,0.007440424241768014,0.007154021139536367,0.006106357400401201,0.007311618293940057,0.00747550857174935,0.009025371697283813
nof,0.011196614361533748,0.008939151954939707,0.010836882364424706,0.010478720555070247,0.01059764217694555,0.011293461060013658,0.010913418551338273,0.012157631854430487,0.009464790259577563,0.008616815399960877
nopf,0.0023111838858798166,0.0029063963821347083,0.0018645368973964425,0.0031377250191464354,0.0025036913091291387,0.003156174175132463,0.0021627980415022995,0.0027115076130075494,0.0031184733911109363,0.0024638342052315195
nosf,0.005390317229722537,0.006948754843389168,0.004656021537028762,0.0044735758023018764,0.006461183420544039,0.0034290969127461213,0.007579401694525177,0.005765652218135884,0.0051309834447943615,0.006832911557623553
nosi,0.011365665511048745,0.010942806081787406,0.0128766741745505,0.008153230295754805,0.011885671616259669,0.010413711084316966,0.011694684515298572,0.012639420300007847,0.013136097548662956,0.010007750390484063
loc,0.01949350564314768,0.018719305013232986,0.0195843775134485,0.018716391320461746,0.0173394051552984,0.020116623838207916,0.019665123904255816,0.016743578952804226,0.01956603518360761,0.016000654413051804
vocabulary,0.02351539729823064,0.016903701090056865,0.0200713691762044,0.018166108439143416,0.015419432850059814,0.02037414086409184,0.011715829491989951,0.017860888902841352,0.01751708077610907,0.017977050373976167
length,0.010802899378703323,0.011727123075939499,0.011829147222193217,0.007930583687622287,0.0115421736360182,0.011008787431562727,0.007316942909242385,0.010941220118821718,0.012808663567875337,0.009814382337722936
calculated_length,0.014194419148439746,0.02055097846040972,0.02848836843536957,0.028938859264984164,0.020310140069414617,0.026588466018403638,0.016502431920075215,0.01668745664666461,0.018064716948914566,0.01734433688485762
volume,0.005626568977169592,0.007235995348036747,0.00800437635888094,0.00968385710428318,0.008054449944412512,0.007094976395174081,0.008018218776515238,0.007847354962931319,0.0075493354176678785,0.011342673187979015
difficulty,0.014593248650143989,0.0194460064973704,0.018977959116977403,0.01674531373349131,0.020486903396670142,0.01694091145549244,0.017012374481998223,0.016273646666428103,0.017015448473173232,0.016192490416011326
effort,0.0071468041071693165,0.0058502854120896465,0.005877516474425344,0.007103235383327517,0.006456726404465413,0.007297496381870938,0.007178397354824531,0.007289732508702987,0.006262283563818668,0.008240462237753921
time,0.007407769904128203,0.00704406089918107,0.009563865169292831,0.007408266065871241,0.006598423340401392,0.006495484237531971,0.006881151902402452,0.005667115628983341,0.008307439177893897,0.006935442107588856
bugs,0.012516313366906659,0.006784037287974598,0.006330835798981198,0.004946706359328459,0.007116046667730169,0.008934864629303301,0.009359697616417428,0.008507857950255555,0.006692593338175133,0.007043922139012504
A,0.01657615693519556,0.022404343418042476,0.020449829997226766,0.0193415257743414,0.018699615285013942,0.020236491848718598,0.02318560695483144,0.021324225760307295,0.01974482002203696,0.02050884315957115
Ca,0.006557040461732518,0.00886165821060701,0.01230936801598863,0.008138322013499644,0.01260836913151935,0.012517338586020976,0.011504207211951587,0.011491813476956488,0.010744226371381085,0.010760536002286717
Ce,0.10636198727347383,0.10683265060231897,0.10461219051294657,0.10199549703945973,0.10624316733770381,0.10826096450669107,0.10361102724195,0.10282540337566956,0.0985442805185276,0.10009380905393266
D,0.029648708309176354,0.026900221348734786,0.028181114472237857,0.027637777460128115,0.021227735123625184,0.02889604668656553,0.023507750203777166,0.021622395001670427,0.026281517285979904,0.02786458974654631
I,0.025141622420322845,0.026192671876905754,0.023301803687662163,0.023459358908082047,0.022460109781922925,0.014733816795487825,0.028585185006958214,0.02199319643688199,0.02502505792732638,0.020577245606247924
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstract,0.002527532545772204,0.0023650163721634565,0.003964409598783835,0.0023953703103287327,0.003736208140568638,0.0042821442234090255,0.004511659082444675,0.004488916624125071,0.0032835772161881245,0.0036884768369952934
assert,0.00481800481438117,0.006191526403914594,0.006660838463024006,0.004189982811961831,0.00586440630039412,0.0027282642045617566,0.005752675521164879,0.004307435782159658,0.002502528480258251,0.006376232054057964
boolean,0.007230246134995444,0.008526220505187282,0.006519443512422292,0.007120342870044413,0.006599482147482833,0.00844258702466327,0.009661312419761276,0.007592550744597358,0.00663081566421084,0.006604108697988551
break,3.3783056023231245e-06,6.0701604442599156e-05,5.084676187140118e-06,0.0004490097694570507,3.2817316448274995e-05,0.00035615656358742044,0.0002160707532180717,0.00022091079163771444,0.00025186914627367215,0.0003555937932875149
byte,0.0013914684090385056,0.0012306602035162993,0.0007199581925143578,0.001830097393476515,0.0010772774129910847,0.0015083104289057533,0.0008569899758457981,0.0005519874368871519,0.0008031908374195329,0.0014858999708925447
case,0.0016577389843257864,0.0018640993104270056,0.002540775799842573,0.0025321818818005238,0.0030432756074123086,0.002293278053918716,0.001963686855860216,0.0018379364606119278,0.0026004442475681165,0.002388629846319327
catch,0.008684533039652264,0.005899324359413557,0.0054493915685786985,0.011109347506426247,0.009246648644298913,0.004506130774070026,0.0073582957982006965,0.0063229144859947,0.007384115377894898,0.007159289752748686
char,0.0010087629504380324,0.0009224359616147903,0.00018807014721115723,0.0014784782746907776,0.0014147817448287533,0.0006138145211154096,0.0013635987291341336,0.0012033451710810072,0.0011117333924054716,0.0014043945778909055
const,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continue,0.00043531194544692417,0.0005450222818000603,0.00031471375819607384,0.0005303470272849646,0.0003367610091431835,0.0004390822815341751,0.0005559885967806333,0.0002497096626019839,0.0004194035396554585,0.00027227199535742353
default,0.004702960659769471,0.0051392714674597115,0.006757438178425676,0.005131447176405977,0.003283935722646813,0.00605320425220171,0.005445330179043728,0.004895535726164889,0.003765628050446441,0.004679071330471003
do,0.002377575582450973,0.002928898824127966,0.0038764017560173523,0.0010059623819037265,0.002303860543574602,0.003284712725762895,0.002723347685524857,0.003836219082496018,0.0033495881286560703,0.0028461041531988585
double,0.006371321218405756,0.006628053928231582,0.008580323363140348,0.006881457800210072,0.0069655700920620055,0.005447300362564624,0.004844891662549539,0.004776222742467829,0.005422664127876738,0.008560196870604525
else,0.00969606373702625,0.005518036177937981,0.007872161895775191,0.006023922607993418,0.006177548501412993,0.009155432047833244,0.008562787137295368,0.009992126623617769,0.007360154243516289,0.008286836286582442
extends,0.010215580725812254,0.010485480479826472,0.008693419441580435,0.011092750846417398,0.01260655926469354,0.00874375841924029,0.010559291917983748,0.012603551772451389,0.010783399500638984,0.009666048665828729
false,0.0011460346720004483,0.00026046542071780546,0.00098221972195365,0.0008641466679342286,0.000514207586286502,0.0006245871297993857,0.0009473509920168001,0.0010231147670349539,0.0006075274018650563,0.0007620847240925083
final,0.01200586247270136,0.012361315762988722,0.009588282539101123,0.0127618385319271,0.01446492449931323,0.011579237199889295,0.013307661717776424,0.013152748921520949,0.010998893084723224,0.01458310331288452
finally,0.0022462770566111148,0.0017603416607968974,0.001789269593965939,0.0013218449918938565,0.0013772481071913326,0.0018258823154004185,0.0023212565163760056,0.0016237400451626527,0.0013933228436049192,0.0021767885774993563
float,0.00020356170155174085,0.0005080549496677053,8.066168771588954e-05,0.0003915054102710355,0.0003846176334077871,0.0003645147126256927,0.0004997067676058363,0.0002806571873891877,0.0006431151813778675,0.0006155496201120772
for,0.018284748061963927,0.020001521527660764,0.016364238283402107,0.022773611852037846,0.018454958498907676,0.015488854811853026,0.020043031239151927,0.021178547521666542,0.02009688679326541,0.018822242527716963
goto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
if,0.010878544821650474,0.010373782276562306,0.009591565293840825,0.010985827639244968,0.0081738280250435,0.009019337205059213,0.008996995435453414,0.010922854385114016,0.00982560912237662,0.008116678920767754
implements,0.0051787214177416415,0.006968368403019722,0.004037930767403532,0.006705387363783559,0.004948107646559238,0.005612966219149852,0.004359410591772554,0.005236468873643671,0.004287901490128121,0.00443754407181423
import,0.11943333120701669,0.07163802958340111,0.09821456364442238,0.127988203362512,0.0882278883727705,0.06833359087796742,0.08407230255244266,0.0691970472132082,0.09584940471494638,0.12001785554919693
instanceof,0.004288283607212116,0.0038983924577359413,0.004637978403538904,0.0043824216780196535,0.005034111560544368,0.00482410454020815,0.0030817374369003885,0.004387971127637358,0.003922854829151068,0.005343282088738023
int,0.008576429621587372,0.008603744460338826,0.00881574437394198,0.009430119334845674,0.010397778944344259,0.007765837125475914,0.006484746630363273,0.007207564379861175,0.007989192088942908,0.0068599851174904235
interface,0.003693504941379934,0.003447900536064109,0.0047526533923312264,0.005156181348397128,0.0024132529866572787,0.0030950659875576573,0.003714584582193369,0.0034469741909417943,0.002822483300195412,0.004024631622048337
long,0.011633438544576373,0.011432521657992165,0.008474272020455208,0.010208543501334499,0.012368655613926973,0.010922579625045403,0.010351353567141921,0.010098096004867382,0.008721999146292965,0.008808821399307578
native,0.0010550283228129898,0.001998010832347799,0.0004922180151442593,0.0009626355171961549,0.0014189505061362418,0.0015267657157225305,0.0016189208317944244,0.0009145588494386316,0.0016574844789572802,0.0018414072426829228
new,0.012592047959959815,0.01203897514792839,0.015578224366564638,0.013452334223127877,0.014612153089683156,0.014658268159715118,0.012582349926751741,0.0129222179855465,0.012234123439721873,0.014857874504816659
null,0.006397695451423148,0.0049886859170326465,0.00487219261250674,0.0065449831183054625,0.007205111391649269,0.006311728521511112,0.00523946890435927,0.006356926462456593,0.008201562254806633,0.005868351715264069
package,5.9622409623968486e-05,0.0002906575291134795,0.00046126682341775786,0.00011670653011811372,0.0004410856109119324,0.000508296243375439,6.560868361561434e-05,5.195791784616251e-05,0.00026448728934991067,0.0006926055130146443
private,0.01438198629640831,0.018076902316831747,0.021224053616419093,0.020007060244575946,0.021550565027345276,0.020602950237130567,0.018654667909700447,0.019975318638689857,0.01698947129509321,0.022956547177929935
protected,0.014018223543219476,0.01570712585407895,0.013607718104481647,0.013330922670981935,0.0087412375647911,0.00866520583258432,0.010101716440931616,0.010413866664083109,0.014922084451580303,0.01142030616731868
public,0.018969746355598345,0.019428774890805814,0.020335658864296495,0.01868465490909321,0.020064899581414174,0.01935278538100999,0.02437496301218528,0.02137053100334199,0.01995436147858902,0.01650411772477022
return,0.028076518915001108,0.027070372989351082,0.023211600222093755,0.01976214552185503,0.023514312474436916,0.027262919627341647,0.029894416736097405,0.02346094513299456,0.023804741257686328,0.025855901114967904
short,0.0007482928380751015,0.00024415079373739715,0.0006574133753158992,0.000510345315729563,0.00048539731922064687,0.0005937863129586014,0.00035885528561686115,0.00045417607370179194,0.0002744921364832232,0.0005921651652193291
static,0.01405394698458812,0.0088677347499986,0.009130595307987004,0.011402154128652354,0.008104057104873722,0.012014555640367344,0.007650392924262837,0.01098586531696852,0.01120149881676415,0.012378420453952233
strictfp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super,0.0008554341175661626,0.0003280211661020349,9.164279781203317e-05,0.0006373006871972877,0.0005564018451943679,0.001394234045281946,0.0008568362443287412,0.0009143644330463054,0.000614038116538112,0.0009580797553540206
switch,0.0006175494842402131,0.001488886816950054,0.001903428835954674,0.0005135947461807867,0.0013048472698556155,0.0016632538762539103,0.0008890644440653192,0.00036287931780495404,0.0004377190105447382,0.0008183424726666791
synchronized,0.0004805172268068322,0.0004981725336501406,0.0004915926651459018,0.0006436700930065764,0.0009523851059562513,0.000578393755421353,0.0006520375637823293,0.000827565580223384,0.0005194904650260831,0.0018385112278029663
this,0.008757590862529462,0.01069608140421845,0.00882164696598861,0.009212713682275192,0.007472625847177337,0.009296176740579143,0.008943014396909916,0.008403414784879406,0.009807096979930414,0.006580361192729744
throw,0.013019428968219112,0.010014439626829916,0.011302687627402008,0.01276875056038263,0.007551835793964748,0.007757654814392825,0.012925223824931182,0.011813345448780599,0.013342074582200636,0.009890121565261223
throws,0.006365803120486996,0.006763614053216837,0.005948122313810632,0.007190598728244453,0.007008255846903416,0.008616052439029472,0.009086734386555075,0.007499447174583859,0.00800185712768605,0.007981152664186995
transient,0.002223395258514151,0.0019853101745881396,0.0024581174634717203,0.0021211450046117646,0.0020399203965902626,0.0017599018900937287,0.0028603594189139363,0.002131715281645282,0.002094649352473667,0.00129520685419018
true,0.004813159350214045,0.003455423842898852,0.002085246638850523,0.003597083706049993,0.0036695575324710975,0.002455764292115976,0.003170944361117066,0.0036894897389905318,0.0038498897000171298,0.0030288438697758887
try,0.021996527333826867,0.027175105617134432,0.02165334106662734,0.010042195414886504,0.020879493779838935,0.02762253057727998,0.012509051047390285,0.028918857227833654,0.04070589613439315,0.020013553747791693
void,0.009481555166768664,0.010603589724879178,0.009214955829754169,0.014088695902960132,0.010772704224835773,0.010246860335839145,0.011812014842915497,0.014583151121825799,0.011325908792741892,0.012174570750278635
volatile,0.0029897414420302373,0.003194390561011331,0.002744657716652177,0.0026387440272674176,0.002341791171803693,0.0029145638972120132,0.003669549740806887,0.002419777120572669,0.0034712549393620244,0.0034155796226637246
while,0.0030181417653693658,0.0030262937785395577,0.004292546531455796,0.0047846192504108365,0.00416702933037999,0.004706342652518666,0.0033473301599024918,0.0031922814098441126,0.004523021433781014,0.0029307155645836884
