,0,1,2,3,4,5,6,7,8,9
cbo,0.08773242923640596,0.05329837467825988,0.06221365682986666,0.04270212901560289,0.052041574743231636,0.054766256954653404,0.07032615532382644,0.05243655729762629,0.09036444650262755,0.07660096810339531
wmc,0.015422881752463515,0.011604952251932225,0.009460160034582304,0.013906989423771152,0.013209610115868853,0.012951740314348231,0.013224568543586427,0.010008230853664894,0.01255758704781501,0.011201377571858765
dit,0.017369948788635705,0.011841178457349192,0.0100799833503206,0.013640332839830264,0.012375814088957427,0.013725061381438216,0.015165743613516964,0.016342055378721482,0.011459978960057151,0.011009579214697893
noc,0.0025859998549547587,0.0015385623761877988,0.002463035563205466,0.004232584533785424,0.003516674370568386,0.0012295400909243018,0.003606787853465751,0.001839959091453899,0.00324557796422544,0.0031392891914986364
rfc,0.13481202901324807,0.18563621718714934,0.18169847687431848,0.12966428252022075,0.1698617639875683,0.14606833948982667,0.11301600291951795,0.16704361637981405,0.11405987071379758,0.12792892469716907
lcom,0.009460080140812507,0.0095367914503427,0.011853819731587636,0.01041750701665313,0.009354834820352674,0.009858237212004508,0.011432187665602686,0.010105353558698089,0.010725784014981272,0.008827046220113818
nom,0.010483491364844116,0.013322973656847528,0.019248431335900804,0.014844858997232103,0.012281718055244244,0.01972524288895494,0.013054425602098381,0.021816129887307717,0.01164428090940374,0.014692548937463551
nopm,0.02252128606103282,0.025248831317842467,0.022908114960155462,0.020796498157151608,0.02591740269661235,0.020202869404712057,0.03201979588898286,0.023606228952038913,0.029066146714231616,0.026776466604736735
nosm,0.006783533015803066,0.007120237796291032,0.005708332420738728,0.005433130652933023,0.0050051957110336855,0.009736951760257745,0.007158551446566786,0.006594751805527495,0.007292196841977389,0.008700710973449988
nof,0.01088540456096317,0.010135927696948628,0.007151090287347088,0.009669265578363912,0.008637528906331212,0.0076152132241191104,0.007520359591845547,0.00947949746398975,0.010334467093309607,0.009663979061397937
nopf,0.0023568210992573678,0.003212649964481579,0.0032094604146867276,0.0034019238357323386,0.003656895600026538,0.002515104710538509,0.002513300340530832,0.0018131463120304627,0.004063934554100145,0.002453153490364294
nosf,0.007603554931861316,0.006381251482806088,0.008399733933401415,0.004493008774454248,0.0054090330366410215,0.008260143538307372,0.005795486741939264,0.0059699042536377435,0.006155744747738575,0.006685168945238809
nosi,0.007376621002036407,0.008490337699899802,0.009317216996161403,0.008713161142494326,0.010245531831620552,0.009535120608020791,0.007559392350819226,0.009626635224264508,0.010776003963840038,0.010269506474814446
loc,0.016358967376936085,0.01845714230709998,0.016616255822802347,0.015505766555477085,0.018304614569851805,0.018555404372756275,0.020756536722375915,0.023727767518195077,0.015365101034962714,0.017584919632618306
vocabulary,0.024243344185703723,0.015348824698115368,0.017506355045992874,0.0287239363501127,0.02311222308687229,0.029330094148720783,0.02475084525363734,0.024592729637106344,0.016576532743477205,0.021482353690471266
length,0.010450683732878793,0.011325359846550078,0.00951562517755579,0.010103964196580648,0.014158591611033906,0.013058426893636729,0.014116527179389594,0.009522546688361222,0.00975370291339144,0.01167545542610744
calculated_length,0.04082399223776913,0.021280667253437323,0.020294788156588216,0.021626415258922203,0.02396172858411489,0.017729123659185535,0.024975254456529747,0.021379373718307813,0.023352032803234942,0.036734446752994886
volume,0.007300254528707042,0.01071902340088045,0.012023485614995806,0.011308603021157397,0.009320068179151144,0.008319277390946228,0.006474383502102443,0.01193314898992021,0.007726071073861891,0.010615705519944313
difficulty,0.014957222346049372,0.013681034460819723,0.018148798593590646,0.01451241087619229,0.017900314477596792,0.01449902744695572,0.01567060945214057,0.01589850066639937,0.014655235243703043,0.014868697820244877
effort,0.006944226134422528,0.008264544408115238,0.006025478499660062,0.009070677296433967,0.008764419619595235,0.00692391440717289,0.00677180610861999,0.00902988900764939,0.009930146829155665,0.00917586293397463
time,0.008041708416425148,0.005714265893828275,0.010120986839167746,0.006865961348513985,0.006029687968138375,0.007846487341221186,0.006454001160212726,0.007918228716636399,0.009054315822916357,0.007432121678246049
bugs,0.008033751359924773,0.009339705681195874,0.007626287818728935,0.010572841638779307,0.006994777303759904,0.006813450865516839,0.009698501559085705,0.00800400158228992,0.009922528329489467,0.007876691845959773
A,0.01808538290674058,0.021351310225138923,0.01818352857015041,0.0162317092615796,0.018853035863662933,0.02045127814138638,0.01890522773207614,0.02268197880332462,0.016506378825671665,0.01828477576763127
Ca,0.012546113872663793,0.01107923715557242,0.012086547171729429,0.014856980035769437,0.013451627533105286,0.011770960091502875,0.0069843153465156665,0.009183424851167792,0.008049994363589011,0.012297199618780816
Ce,0.09479123925776292,0.09102827033933496,0.08307388601301054,0.08321609394491987,0.08810762552776955,0.0815796441396687,0.0790073836417211,0.08567085709303192,0.089355916864284,0.08855561391826845
D,0.023978820316560148,0.02409021677876671,0.023611574178118815,0.024134179205250853,0.022958567514877577,0.02610460078936227,0.02055687514733586,0.020268222684186984,0.02262999733829316,0.02450616278669564
I,0.022828115215119873,0.022422727015398658,0.02549769666801644,0.021859135096812973,0.019304055694551982,0.021984131225841263,0.0198627723694405,0.019720783694665026,0.02326686652248707,0.018240071525000647
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstract,0.00481073247513355,0.004337439263533198,0.0025338843395214675,0.0032111254661692534,0.004321874464329144,0.003649955888477849,0.004591159136986864,0.0026534451670379364,0.0029709629226948807,0.0028071430911317764
assert,0.003905960329576034,0.003259940239602163,0.004402106818127156,0.003879260958824622,0.007938345604977066,0.003177035946296492,0.00555360181547948,0.005863506810644445,0.006215373902340555,0.0047685559449102384
boolean,0.008608677338447399,0.007104220313873073,0.007783291846991006,0.006383859472919468,0.006825821677189632,0.005678960024378036,0.010173204737260067,0.008385313632878116,0.010590836168780133,0.008922509172136536
break,0.00016978115672669378,3.4175614261992946e-05,0.00016741897982696494,5.797955863985573e-06,6.033344304018378e-05,5.065247480885382e-05,4.637881381887315e-05,0.00015998746636086705,5.019201173781573e-06,6.618812564300198e-05
byte,0.0003492679838030549,0.0014835504739554332,0.001116274321803432,0.001193083611728465,0.0006947204801435473,0.0008501067821372533,0.0007174497495474633,0.0012605585994712354,0.0002692813533001901,0.0009902648108525648
case,0.0028911282389153694,0.003907953329116276,0.0014693582551298747,0.002907875238418443,0.002250796483781966,0.002739793273131608,0.003028341412771399,0.0028930162541346994,0.004198929229141124,0.0010497998480491608
catch,0.008028987389898313,0.005301754153458349,0.008258247933306302,0.006105524563914999,0.008264834639946247,0.0061579515157505925,0.004852172887855751,0.007994674577769388,0.007662377514743821,0.0063130318404048605
char,0.0013138662644032685,0.0010974559073305644,0.001840926815067969,0.0011102523330535283,0.0011093618907813186,0.000958324612778407,0.0005212926350206116,0.001021951459100709,0.0006437594117817362,0.001384058033761201
const,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continue,0.000260276334154513,0.00039453259751488524,0.0007253014096976174,0.00024454537365747116,0.0007374893156270102,0.00044903001618307853,0.000409618758916303,0.0005381116407374382,0.0003610389765879234,0.001386862635943853
default,0.0035968575720449793,0.0051371235341891915,0.004336055159597284,0.0023966707342864078,0.00415412979898509,0.003004296839496923,0.005840751432883749,0.005899354349845878,0.00365056312075537,0.005479074127463923
do,0.0029444562822776963,0.0030164575465014025,0.00319190023672792,0.0027091314392832266,0.003538148107353611,0.0023274534719231526,0.003047843912002911,0.0030043017552840966,0.0017837765813172794,0.0029165631509335383
double,0.008605836723993555,0.006492746700418891,0.008409137921805185,0.008412123727525726,0.007938970037119759,0.00902847725821362,0.009684875684825947,0.00784045128625132,0.01038893345217105,0.0067433079203824756
else,0.0065735632141660635,0.008737738663808663,0.008304464921806993,0.008216247823654406,0.007112974315467988,0.007694258164415902,0.007984135826141749,0.007482258749629001,0.006264445646091124,0.006905640453034108
extends,0.0047371000837847215,0.011075311899227764,0.008525430617792457,0.009267966861979685,0.010491401354455835,0.008362368966148084,0.009293383047532923,0.008567819893356013,0.0074617323916152676,0.005981331104967329
false,0.0009136190167470961,0.0006464529417123518,0.001057764903539362,0.0010126276797205688,0.0007935750913064675,0.0004938427339264915,0.0004944596787194459,0.0007109293674373966,0.0013716800872290995,0.00041518070930763
final,0.012451910005955021,0.016779212586502536,0.008269266290379567,0.011339444353659675,0.012851896814123749,0.010738055376912452,0.011934302566382723,0.01479118250692103,0.013538036931936802,0.01466276061394596
finally,0.0016715338813079936,0.001014979678057294,0.0021385586359570184,0.0008857860848626653,0.0012585701461689815,0.0010317875176659391,0.0022547304804460266,0.0009157096570718027,0.002255722069399229,0.0027808572018032016
float,0.00031143336369799415,0.0004752509836135939,0.0006243361459097193,0.0005544978086661612,0.0003262843011928402,0.00014446816198532516,0.00020368061339275643,0.00019759807712496874,0.0005538683035622661,0.00026910533131794016
for,0.016057579795319372,0.016268687902099472,0.014457315413640096,0.014618437462420886,0.012842076170309571,0.011775598229133656,0.012476391669752236,0.014853213616461455,0.012803625888301461,0.011945578158898048
goto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
if,0.010543166936117192,0.011698078235880809,0.008032915054131262,0.009554390187777888,0.013736666685273659,0.009955568844426648,0.011039363984460105,0.010817327938696544,0.014743109340717707,0.016595220985119154
implements,0.005012365957590924,0.0062331828252718624,0.005446277267101716,0.003624318004514443,0.00479106689749239,0.003785641715700174,0.005474137977295021,0.0037251923820406665,0.004801793746393274,0.005679990911971917
import,0.06666045762178419,0.06671214457054353,0.07684896853622736,0.13468307426806975,0.07906795234472973,0.11635557625590175,0.12202412229483783,0.08751167405473012,0.10489085644551417,0.09023310658693794
instanceof,0.004894929224108115,0.0038735898771207764,0.0059422114599198194,0.0053972660411372555,0.0040699442286753346,0.004462647364976317,0.004252000962512132,0.0035093660471457945,0.0038727539568321353,0.004545366554927947
int,0.008170075290049664,0.00951450732321933,0.009927660737226536,0.011557186123759732,0.010170517150692445,0.007991377052820067,0.007651983551088253,0.009895602586372843,0.006861249889176612,0.008157412494738319
interface,0.0030430549293162133,0.0027150027523905134,0.002594405344571302,0.006700721997951084,0.0023028348057312037,0.002575386017063552,0.0028994564648847127,0.002193443682876078,0.003725561217329083,0.004012669535029826
long,0.007326069917689356,0.007864407214430994,0.010382018407888832,0.008666170724720125,0.00799833467884032,0.009858497052676737,0.012995649305325535,0.010856400036890116,0.009919435546736733,0.009208862321806944
native,0.0009789962644751883,0.0010942679379274845,0.002037536057321527,0.001362107465609457,0.0014431604340984366,0.0005986002194005603,0.0008253790259133252,0.0007428517723878114,0.0011405082444548558,0.0009374595040833973
new,0.01383732047059184,0.011953369038205465,0.009860115387125902,0.013590688429971728,0.013899634202221013,0.011106842721489232,0.01082718680012634,0.01367238826044285,0.011850637227835008,0.01204050837818833
null,0.00579982949870864,0.008056987833886954,0.0065842769072540965,0.00399182374084317,0.005155909908662985,0.008131762690606942,0.00519958277529836,0.0059142095168381046,0.004058836461822035,0.00644592086976401
package,0.0002818288736336062,8.511050625117095e-05,0.00015382661840573683,9.103355083269289e-05,0.00017359950484250756,0.00021598282280782424,0.00017246316776518155,0.00030084772082202666,0.000123387270811251,0.00035022177954591573
private,0.0167987400243206,0.019210432206434317,0.0187909906058516,0.02048806885641599,0.020417272711962597,0.014276986785122632,0.019812799521721797,0.01690221956678236,0.02018067281271541,0.016057431480266466
protected,0.009326401382907683,0.008245973776905205,0.008017325888446529,0.007757568028267974,0.008179986680880557,0.008288794154049369,0.010195359368651052,0.008619310847709236,0.008130838589418644,0.009801144551443004
public,0.025643363144609493,0.022915212183560844,0.021757685062861437,0.023168376368304266,0.016202416488811173,0.017597086858085784,0.018088918358491395,0.017730478287910863,0.020504680288608294,0.01987306792796183
return,0.02864051133188594,0.02465151307813907,0.02552932149698385,0.030282102991230797,0.028709927951911164,0.03069893105200232,0.022142091575084646,0.025126229443815474,0.027701433490583453,0.026007795566706692
