file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/ClassToInstanceMap.java,com.google.common.collect.ClassToInstanceMap,interface,5,2,1,0,0,1,2,0,0,0,0,0,0,63
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/TreeMultimap.java,com.google.common.collect.TreeMultimap,class,8,16,6,0,17,27,14,8,3,3,0,1,6,207
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/ComparisonChain.java,com.google.common.collect.ComparisonChain,class,5,34,2,0,7,482,32,29,1,4,0,3,2,227
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/hash/Murmur3_32HashFunction.java,com.google.common.hash.Murmur3_32HashFunction,class,7,22,4,0,14,28,16,9,3,7,0,4,19,157
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/AbstractMapBasedMultimap.java,com.google.common.collect.AbstractMapBasedMultimap,class,30,322,44,0,171,15669,189,133,2,18,0,1,26,1374
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/util/concurrent/AbstractExecutionThreadService.java,com.google.common.util.concurrent.AbstractExecutionThreadService,class,10,29,1,0,31,186,21,12,0,2,0,1,3,236
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/escape/ArrayBasedUnicodeEscaper.java,com.google.common.escape.ArrayBasedUnicodeEscaper,class,6,22,3,0,9,0,6,1,0,6,0,0,2,191
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/ForwardingImmutableList.java,com.google.common.collect.ForwardingImmutableList,class,1,1,1,0,0,0,1,0,0,0,0,0,0,26
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/Queues.java,com.google.common.collect.Queues,class,5,47,1,0,12,210,21,20,20,0,0,0,19,393
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/LinkedListMultimap.java,com.google.common.collect.LinkedListMultimap,class,21,122,12,0,59,1322,61,39,4,29,0,1,14,766
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/RegularImmutableMultiset.java,com.google.common.collect.RegularImmutableMultiset,class,12,12,9,0,8,21,10,5,0,4,0,1,1,83
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/TreeRangeSet.java,com.google.common.collect.TreeRangeSet,class,28,214,16,0,92,1695,69,48,3,17,0,0,88,835
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/eventbus/DeadEvent.java,com.google.common.eventbus.DeadEvent,class,1,4,1,0,4,0,4,4,0,2,0,0,0,66
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/primitives/Shorts.java,com.google.common.primitives.Shorts,class,9,106,4,0,31,750,44,35,23,8,2,5,30,575
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/base/FunctionalEquivalence.java,com.google.common.base.FunctionalEquivalence,class,10,10,2,0,8,0,6,3,0,3,0,1,3,63
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/MultitransformedIterator.java,com.google.common.collect.MultitransformedIterator,class,4,12,1,0,8,4,5,3,0,3,0,0,2,65
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/graph/MutableGraph.java,com.google.common.graph.MutableGraph,interface,4,4,1,0,0,6,4,0,0,0,0,0,0,68
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/RegularImmutableTable.java,com.google.common.collect.RegularImmutableTable,class,22,31,10,0,28,136,16,4,4,0,0,0,13,150
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/io/ByteArrayDataOutput.java,com.google.common.io.ByteArrayDataOutput,interface,2,15,1,0,0,105,15,0,0,0,0,0,0,64
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/ImmutableSet.java,com.google.common.collect.ImmutableSet,class,20,69,8,2,41,628,34,23,14,6,0,4,29,466
