,0,1,2,3,4,5,6,7,8,9
cbo,0.021527307123380586,0.015633909184148132,0.015163840542149908,0.013905892211355863,0.018816277463513685,0.023801218268447357,0.039062549325293995,0.02752578083269333,0.029190468302544535,0.022446197635468516
wmc,0.011979029650082558,0.011215843117106156,0.018043368254505775,0.010369060444087017,0.01292002673301248,0.012284460183919484,0.009452689258809951,0.009524193442284284,0.009863080842280566,0.017064262008409808
dit,0.005566450934801862,0.0015861233713677792,0.00409939350525698,0.00415368832816196,0.007533029929921228,0.007912715806519208,0.005721219237618091,0.004707255740010467,0.004325671085324871,0.0031044538115802315
noc,0.0,0.0,0.0001601448790208104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rfc,0.14857952288967874,0.19155247248696455,0.1642840510302243,0.1519785950895282,0.2098119144056876,0.1742653360099076,0.16044762236989873,0.15736644664229488,0.18850072720249056,0.1843827661341658
lcom,0.013276821086803794,0.010856114236580066,0.012145573107465349,0.016951076266938533,0.023563090770561262,0.012540155425534641,0.015725708094589157,0.011819265004269225,0.017948116657900054,0.017904073974012853
nom,0.01166504399169922,0.018316494830530775,0.016880933964712776,0.009165522903339834,0.020919167703037624,0.017679268265704574,0.014247806310208984,0.019973183684422715,0.0195322871098151,0.014256418056329958
nopm,0.02805246063839815,0.016433218542127783,0.01610052889769165,0.01859054434112088,0.029043272115535902,0.01384058339711479,0.020245991092013377,0.015730015630290813,0.023325078053747027,0.01567344530781036
nosm,0.009705326819419718,0.007437602154368966,0.006886362890470317,0.013210648059366985,0.0038989256225884054,0.01040680568844759,0.009508454754468,0.01813424119462142,0.007886971101538586,0.008605646887014066
nof,0.011878918714726633,0.009340066728736328,0.011159535556262645,0.01173856828749154,0.007840159213516062,0.013692379899345354,0.010686172526163046,0.0085887910452089,0.010132759698251238,0.011867154289341807
nopf,0.01112970171563408,0.008209149550867583,0.016867990121314895,0.005388945334020472,0.009411011140366325,0.003977454199653673,0.004997786527993102,0.011506116080876237,0.004561298808216782,0.009485224006776436
nosf,0.00796050402578315,0.009382033124981861,0.00677304685647856,0.008683866487032352,0.010942982256238543,0.00999598368878579,0.009623906621202062,0.009925572804370371,0.006479104731727819,0.016333852295918248
nosi,0.011806578799193073,0.010153630425097903,0.014991790604646277,0.011797221082349577,0.011255646592466103,0.017349498857303948,0.006570334499521708,0.010451269065260867,0.009089017079139046,0.009251305048433777
loc,0.012803963961733889,0.016253584008600445,0.020591351114930108,0.025342391703413507,0.022631052270814408,0.022554764804120195,0.02461559390378088,0.023474708468290795,0.02580608450745675,0.01859352678809562
vocabulary,0.011208847496820986,0.014826524422581302,0.011594562778490913,0.012969567217084699,0.012142614623790519,0.010500075658088788,0.00949839917250626,0.02345809491114916,0.018395477821449208,0.0176693886622356
length,0.0056761212493410314,0.010033793886716231,0.005952022410099795,0.006168467178981983,0.009448897029139338,0.009295621559115617,0.005140063318411115,0.013110663951362947,0.008995277714844308,0.0062026705755852535
