,0,1,2,3,4,5,6,7,8,9
cbo,0.017401119439327473,0.016053096305400073,0.018229091875339283,0.026072723939835018,0.04560872965018791,0.035286260970141155,0.019909813948843374,0.020842849609934707,0.023436826109733983,0.026736780256386414
wmc,0.01564781954091127,0.011499378933267525,0.008710423091367154,0.013411659428501805,0.014890188629335284,0.011462865636620212,0.01597819745994994,0.011755555205623242,0.009400705335687327,0.013854355214033776
dit,0.011589337757788339,0.006367334040613908,0.00401277000240449,0.007831146996150446,0.011839176219087399,0.0073079559320496715,0.008060588533417888,0.01037794786436096,0.015960808580361707,0.005395436780016537
noc,0.000812135919366959,0.001410284065724443,0.0005080581147938386,8.614432091500043e-05,0.0001664921741427735,0.0003343968584097747,0.0,0.0009532565636642672,0.00033176759166154984,0.0007523978705636327
rfc,0.15123614533839796,0.13942910472964673,0.11263401163241547,0.18240642518265648,0.16031155704972186,0.19866336824981146,0.1487815469669232,0.17447581952214417,0.1375087642967051,0.17055604850791037
lcom,0.012025496181796219,0.015003868644768242,0.013548900041867552,0.027175816299886132,0.014271687729359822,0.019854470588776256,0.017196707345965984,0.011265836874716264,0.023892146409066353,0.01539644482965824
nom,0.010288834810486421,0.0078020487545621695,0.01007186129142014,0.007694196783877081,0.01112384146836491,0.005789906928130295,0.010521297996845988,0.024488271870939615,0.011807897192087616,0.020300514364623715
nopm,0.028076766303672368,0.013151043902078163,0.007335524625504141,0.03002396312804614,0.00885258761603924,0.016578634028279023,0.021297479500323232,0.008268900821873083,0.018264275692264364,0.02742679053663255
nosm,0.0071954221276919915,0.022182430292695617,0.0044986111246594395,0.01388320294365651,0.002809059708516687,0.00553532007437128,0.01915234793828664,0.002613572130609926,0.009984551621504372,0.010758652887395852
nof,0.008756827026498973,0.006525855646175974,0.007905229967133184,0.011133631852585167,0.009670821639957734,0.011574984380443153,0.010235814182050301,0.005693575559880679,0.00638388626872792,0.018193086641634788
nopf,0.015741075584586924,0.016913264345944617,0.01833182248730519,0.01252077583693314,0.01934492234639699,0.003864487915170854,0.006087161779979367,0.01051714960098823,0.0036163482305742456,0.008109361871841745
