TARGET_CLASS,BranchCoverage
com.google.common.collect.HashMultimapGwtSerializationDependencies,0.0
com.google.common.collect.HashMultiset,0.5999999999999999
com.google.common.collect.Hashing,1.0
com.google.common.collect.ImmutableAsList,0.0
com.google.common.collect.ImmutableBiMap,0.0
com.google.common.collect.ImmutableClassToInstanceMap,1.0
com.google.common.collect.ImmutableCollection,0.0
com.google.common.collect.ImmutableEntry,1.0
com.google.common.collect.ImmutableEnumMap,0.3285714285714286
com.google.common.collect.ImmutableEnumSet,0.35
com.google.common.collect.ImmutableMapEntrySet,0.0
com.google.common.collect.ImmutableMapKeySet,0.0
com.google.common.collect.ImmutableMapValues,0.0
com.google.common.collect.ImmutableMultisetGwtSerializationDependencies,0.0
com.google.common.collect.ImmutableRangeMap,0.0
com.google.common.collect.ImmutableRangeSet,0.0
com.google.common.collect.ImmutableSortedMapFauxverideShim,0.0
com.google.common.collect.ImmutableSortedMultiset,0.0
com.google.common.collect.ImmutableSortedMultisetFauxverideShim,0.0
com.google.common.collect.ImmutableSortedSet,0.0
com.google.common.collect.ImmutableSortedSetFauxverideShim,0.0
com.google.common.collect.Interners,0.5
com.google.common.collect.Iterators,0.8031963470319635
com.google.common.collect.LexicographicalOrdering,0.2
com.google.common.collect.LinkedHashMultimapGwtSerializationDependencies,0.0
com.google.common.collect.LinkedHashMultiset,0.5999999999999999
com.google.common.collect.LinkedListMultimap,0.0
com.google.common.collect.Lists,0.0
com.google.common.collect.MapMaker,1.0
com.google.common.collect.MinMaxPriorityQueue,0.6446153846153846
com.google.common.collect.MultimapBuilder,0.0
com.google.common.collect.MultitransformedIterator,0.0
com.google.common.collect.MutableClassToInstanceMap,0.7916666666666667
com.google.common.collect.NaturalOrdering,0.875
com.google.common.collect.NullsFirstOrdering,0.0
com.google.common.collect.NullsLastOrdering,0.0
com.google.common.collect.ObjectArrays,1.0
com.google.common.collect.ObjectCountHashMap,0.743421052631579
com.google.common.collect.ObjectCountLinkedHashMap,0.6127659574468086
com.google.common.collect.Platform,1.0
com.google.common.collect.Queues,0.8424999999999999
com.google.common.collect.Range,0.14596774193548387
com.google.common.collect.RangeGwtSerializationDependencies,1.0
com.google.common.collect.RegularContiguousSet,0.07931034482758621
com.google.common.collect.RegularImmutableAsList,0.0
com.google.common.collect.RegularImmutableBiMap,0.0
com.google.common.collect.RegularImmutableList,0.7
com.google.common.collect.RegularImmutableMap,0.0
com.google.common.collect.RegularImmutableMultiset,0.7583333333333333
com.google.common.collect.RegularImmutableSet,1.0
com.google.common.collect.RegularImmutableSortedMultiset,0.0
com.google.common.collect.RegularImmutableSortedSet,0.0
com.google.common.collect.ReverseNaturalOrdering,0.9230769230769231
com.google.common.collect.ReverseOrdering,0.0
com.google.common.collect.SingletonImmutableSet,1.0
com.google.common.collect.SingletonImmutableTable,0.0
com.google.common.collect.SortedIterables,0.0
com.google.common.collect.SortedLists,0.7575757575757577
com.google.common.collect.SortedMultisets,0.0
com.google.common.collect.StandardRowSortedTable,0.0
com.google.common.collect.TopKSelector,0.8775000000000001
com.google.common.collect.TransformedIterator,0.0
com.google.common.collect.TransformedListIterator,0.0
com.google.common.collect.TreeBasedTable,0.20649350649350645
com.google.common.collect.TreeMultimap,0.0
com.google.common.collect.TreeMultiset,0.312779552715655
com.google.common.collect.TreeRangeMap,0.0
com.google.common.collect.TreeRangeSet,0.0
com.google.common.collect.TreeTraverser,0.3555555555555556
com.google.common.collect.UnmodifiableIterator,1.0
com.google.common.collect.UnmodifiableListIterator,0.0
com.google.common.collect.UnmodifiableSortedMultiset,0.0
com.google.common.collect.UsingToStringOrdering,0.6666666666666667
com.google.common.collect.WellBehavedMap,0.9000000000000001
com.google.common.escape.ArrayBasedCharEscaper,0.0
com.google.common.escape.ArrayBasedEscaperMap,1.0
com.google.common.escape.ArrayBasedUnicodeEscaper,0.0
com.google.common.escape.CharEscaper,0.0
com.google.common.escape.CharEscaperBuilder,0.5294117647058824
com.google.common.escape.Escaper,0.75
com.google.common.escape.Escapers,0.7999999999999999
com.google.common.escape.Platform,0.33333333333333337
com.google.common.escape.UnicodeEscaper,0.3555555555555556
com.google.common.eventbus.AsyncEventBus,1.0
com.google.common.eventbus.DeadEvent,1.0
com.google.common.eventbus.Dispatcher,0.29999999999999993
com.google.common.eventbus.EventBus,0.7836257309941522
com.google.common.eventbus.Subscriber,0.0
com.google.common.eventbus.SubscriberExceptionContext,0.19999999999999998
com.google.common.eventbus.SubscriberRegistry,0.296195652173913
com.google.common.graph.AbstractBaseGraph,0.4666666666666666
com.google.common.graph.AbstractDirectedNetworkConnections,0.7
com.google.common.graph.AbstractGraph,0.9307692307692308
com.google.common.graph.AbstractGraphBuilder,1.0
com.google.common.graph.AbstractNetwork,0.5137254901960784
com.google.common.graph.AbstractUndirectedNetworkConnections,1.0
com.google.common.graph.AbstractValueGraph,0.6085714285714285
com.google.common.graph.ConfigurableMutableGraph,1.0
com.google.common.graph.ConfigurableMutableNetwork,0.7666666666666667
com.google.common.graph.ConfigurableMutableValueGraph,0.8135135135135135
com.google.common.graph.ConfigurableNetwork,0.8444444444444444
com.google.common.graph.ConfigurableValueGraph,0.9222222222222223
com.google.common.graph.DirectedGraphConnections,0.953846153846154
com.google.common.graph.DirectedMultiNetworkConnections,0.6047619047619047
com.google.common.graph.DirectedNetworkConnections,0.05
com.google.common.graph.EdgesConnecting,1.0
com.google.common.graph.ElementOrder,0.9696969696969695
com.google.common.graph.EndpointPair,0.8355555555555554
