algo,mean_absolute_error-AUC,mean_squared_error,median_abs_error,r2_score
mlp,0.1715510145216495,0.05290083982715508,0.12768514119438856,0.4336107445151208
huber,0.4840200983141818,0.5800359651838334,0.4593009124614627,-5.1216887878845405
rfr,0.15051387666118704,0.04446190592786472,0.1098406773928732,0.52520166447161
svr,0.15826475017410338,0.054076561758803696,0.09649378283030388,0.4228135188467436
