algo,mean_absolute_error-AUC,mean_squared_error,median_abs_error,r2_score
mlp,0.17159281177083438,0.05724177260295309,0.1189589592504962,0.3218973476912956
huber,0.4909024628324039,0.5692286671957038,0.4754627934679053,-5.680641648781463
rfr,0.1498963899311713,0.04631630796168863,0.1036236934506826,0.4518739106189266
svr,0.1530895159161517,0.05817323798003685,0.07791634348837982,0.314815209905763
