project,class,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
guava,com.google.common.eventbus.SubscriberExceptionContext,23,60,98.10749561002054,271.4137173634208,0.0,0.0,0.0,0.09047123912114027
guava,com.google.common.eventbus.SubscriberExceptionHandler,10,10,NaN,33.219280948873624,0.0,0.0,0.0,0.01107309364962454
guava,com.google.common.eventbus.Dispatcher,57,210,315.5188126189908,1224.9069029745958,3.6296296296296298,4445.958388574459,246.9976882541366,0.4083023009915319
guava,com.google.common.eventbus.package-info,8,12,NaN,36.0,0.0,0.0,0.0,0.012
guava,com.google.common.net.PercentEscaper,94,432,554.2613730712553,2831.5823839247396,33.43589743589744,94676.49817020155,5259.805453900086,0.9438607946415799
guava,com.google.common.net.UrlEscapers,29,59,130.38196255841368,286.6208787125268,1.8888888888888888,541.3949931236617,30.077499617981207,0.0955402929041756
guava,com.google.common.net.InternetDomainName,133,441,880.20200171888,3111.3795540560245,19.239669421487605,59861.914064813434,3325.661892489635,1.0371265180186748
guava,com.google.common.net.HttpHeaders,193,392,1456.312800138462,2976.2431586090875,0.0,0.0,0.0,0.9920810528696958
guava,com.google.common.net.MediaType,381,1663,3199.8064456751913,14257.975272801397,19.730458221024257,281316.3854364049,15628.688079800273,4.752658424267133
guava,com.google.common.net.InetAddresses,242,1395,1816.7988842274708,11046.814215998062,50.4954954954955,557814.3574835057,30989.68652686143,3.682271405332687
guava,com.google.common.net.HostAndPort,109,439,683.2110957008053,2971.2329185770704,23.010309278350515,68368.98839447445,3798.2771330263586,0.9904109728590235
guava,com.google.common.net.package-info,7,8,NaN,22.458839376460833,0.0,0.0,0.0,0.007486279792153611
guava,com.google.common.net.HostSpecifier,59,150,322.37356559126414,882.3964574042762,5.074074074074074,4477.344987569846,248.74138819832478,0.2941321524680921
guava,com.google.common.cache.LocalCache,618,9016,5574.207825124006,83591.51065958584,177.0152027027027,1.4796968203631721E7,822053.7890906512,27.863836886528613
guava,com.google.common.cache.LongAdder,82,244,474.6857932898427,1551.2426891268126,13.52112676056338,20974.549036080847,1165.2527242267138,0.5170808963756042
guava,com.google.common.cache.RemovalNotification,29,73,134.6059378176129,354.6326126443128,0.0,0.0,0.0,0.1182108708814376
guava,com.google.common.cache.CacheStats,57,309,301.8442939431394,1802.3630143769053,15.419999999999998,27792.437681691878,1544.0243156495487,0.6007876714589684
guava,com.google.common.cache.Cache,42,92,NaN,496.09320289564596,0.0,0.0,0.0,0.16536440096521532
guava,com.google.common.cache.Weigher,12,18,NaN,64.52932501298082,0.0,0.0,0.0,0.02150977500432694
guava,com.google.common.cache.RemovalListeners,27,55,NaN,261.5188126189908,0.0,0.0,0.0,0.0871729375396636
guava,com.google.common.cache.LoadingCache,32,80,NaN,400.0,0.0,0.0,0.0,0.13333333333333333
guava,com.google.common.cache.AbstractCache,82,277,502.7535666081546,1761.0419052792095,3.3544303797468356,5907.292467075829,328.1829148375461,0.5870139684264032
guava,com.google.common.cache.CacheLoader,64,266,376.56863518049477,1596.0,0.0,0.0,0.0,0.532
guava,com.google.common.cache.ForwardingLoadingCache,32,109,153.58008562199316,545.0,0.0,0.0,0.0,0.18166666666666667
guava,com.google.common.cache.LongAddable,11,15,NaN,51.89147427955947,0.0,0.0,0.0,0.01729715809318649
guava,com.google.common.cache.CacheBuilder,191,901,1399.37307040598,6827.26337406021,17.726775956284154,121025.36822650995,6723.631568139442,2.27575445802007
guava,com.google.common.cache.CacheBuilderSpec,167,907,1191.1599796363812,6697.019793273966,15.543750000000001,104096.80141170221,5783.155633983456,2.232339931091322
guava,com.google.common.cache.LongAddables,33,69,160.0,348.0631942357333,0.0,0.0,0.0,0.11602106474524443
guava,com.google.common.cache.RemovalListener,12,18,NaN,64.52932501298082,0.0,0.0,0.0,0.02150977500432694
guava,com.google.common.cache.AbstractLoadingCache,40,102,201.42124551085624,542.8366656785109,2.6315789473684212,1428.5175412592394,79.3620856255133,0.1809455552261703
guava,com.google.common.cache.RemovalCause,12,19,NaN,68.11428751370197,0.0,0.0,0.0,0.022704762504567322
guava,com.google.common.cache.ForwardingCache,49,171,268.0782000346155,960.1153833437006,0.0,0.0,0.0,0.32003846111456685
guava,com.google.common.cache.package-info,7,8,NaN,22.458839376460833,0.0,0.0,0.0,0.007486279792153611
guava,com.google.common.cache.Striped64,133,483,870.755238758825,3407.701416347075,22.720338983050844,77424.13133242802,4301.340629579335,1.1359004721156916
guava,com.google.common.util.concurrent.ImmediateFuture,70,233,415.94747320502313,1428.1229429481773,3.338235294117647,4767.410412488768,264.85613402715376,0.4760409809827258
guava,com.google.common.util.concurrent.ForwardingListenableFuture,26,68,116.09640474436812,319.6299008335943,0.0,0.0,0.0,0.10654330027786477
guava,com.google.common.util.concurrent.Runnables,15,28,53.30296890880645,109.39293667703852,0.0,0.0,0.0,0.03646431222567951
guava,com.google.common.util.concurrent.AggregateFuture,111,361,705.6986407068049,2452.7841277523885,15.742574257425744,38613.13626857721,2145.1742371431783,0.8175947092507961
guava,com.google.common.util.concurrent.AtomicDoubleArray,79,297,463.88608455824965,1872.2228822085997,10.666666666666666,19970.37741022506,1109.46541167917,0.6240742940695332
guava,com.google.common.util.concurrent.SimpleTimeLimiter,114,467,758.9350486670253,3190.9596366149344,4.081081081081081,13022.565003482568,723.4758335268093,1.0636532122049782
guava,com.google.common.util.concurrent.ForwardingCheckedFuture,30,99,140.8814488586996,485.78216896524333,0.0,0.0,0.0,0.1619273896550811
guava,com.google.common.util.concurrent.MoreExecutors,244,1196,1861.8597449029432,9485.161855725213,29.14285714285714,276424.7169382776,15356.928718793199,3.161720618575071
guava,com.google.common.util.concurrent.ServiceManager,238,1127,1828.4627117172065,8897.459619248053,18.243478260869566,162320.61114071665,9017.811730039813,2.965819873082684
guava,com.google.common.util.concurrent.TimeLimiter,34,101,NaN,513.8337469662844,0.0,0.0,0.0,0.17127791565542813
guava,com.google.common.util.concurrent.AbstractScheduledService,144,578,992.0818798199954,4144.216650833657,12.043795620437955,49912.09834945644,2772.8943527475803,1.3814055502778857
guava,com.google.common.util.concurrent.FakeTimeLimiter,45,163,NaN,895.172054701737,0.0,0.0,0.0,0.298390684900579
guava,com.google.common.util.concurrent.AtomicDouble,62,187,356.41343573651113,1113.4347100423458,2.85,3173.2889236206856,176.2938290900381,0.3711449033474486
guava,com.google.common.util.concurrent.ForwardingFuture,33,108,160.0,544.794564890713,0.0,0.0,0.0,0.18159818829690433
guava,com.google.common.util.concurrent.AbstractCatchingFuture,83,467,501.87101354569216,2977.143414439014,11.128205128205128,33130.26261196236,1840.57014510902,0.992381138146338
guava,com.google.common.util.concurrent.SettableFuture,27,60,NaN,285.29325012980814,0.0,0.0,0.0,0.09509775004326938
guava,com.google.common.util.concurrent.Atomics,22,59,NaN,263.1064654996005,0.0,0.0,0.0,0.0877021551665335
guava,com.google.common.util.concurrent.WrappingExecutorService,63,278,369.1601712439863,1661.6838187329768,0.0,0.0,0.0,0.5538946062443256
guava,com.google.common.util.concurrent.ExecutionList,50,165,262.0838499786226,931.2362713128296,6.391304347826087,5951.814429695041,330.6563572052801,0.31041209043760987
guava,com.google.common.util.concurrent.AsyncFunction,19,28,NaN,118.94197037642039,0.0,0.0,0.0,0.039647323458806796
guava,com.google.common.util.concurrent.SmoothRateLimiter,76,323,434.9573007736515,2018.0805868422783,15.044776119402986,30361.570619955473,1686.7539233308596,0.6726935289474261
guava,com.google.common.util.concurrent.SerializingExecutor,64,202,352.1262152617935,1212.0,9.105263157894736,11035.57894736842,613.0877192982456,0.404
guava,com.google.common.util.concurrent.AbstractCheckedFuture,36,106,NaN,548.0120501528851,0.0,0.0,0.0,0.18267068338429504
guava,com.google.common.util.concurrent.GwtFuturesCatchingSpecialization,10,14,NaN,46.50699332842308,0.0,0.0,0.0,0.01550233110947436
guava,com.google.common.util.concurrent.JdkFutureAdapters,56,177,317.9747842438563,1027.901821204196,0.0,0.0,0.0,0.34263394040139866
guava,com.google.common.util.concurrent.InterruptibleTask,54,152,290.1928094887362,874.7429003288473,5.6,4898.560241841545,272.1422356578636,0.2915809667762824
guava,com.google.common.util.concurrent.ListenableScheduledFuture,13,27,NaN,99.91187238980949,0.0,0.0,0.0,0.03330395746326983
guava,com.google.common.util.concurrent.Uninterruptibles,70,406,411.1828632628342,2488.4889048796567,5.388059701492537,13408.126785993374,744.8959325551874,0.8294963016265522
guava,com.google.common.util.concurrent.AbstractListeningExecutorService,32,100,NaN,500.0,0.0,0.0,0.0,0.16666666666666666
guava,com.google.common.util.concurrent.AbstractFuture,249,1612,1912.6516999975415,12831.523114493746,36.278481012658226,465508.1676726465,25861.564870702583,4.277174371497916
guava,com.google.common.util.concurrent.ForwardingBlockingQueue,31,104,NaN,515.2364162802351,0.0,0.0,0.0,0.17174547209341168
guava,com.google.common.util.concurrent.CollectionFuture,66,212,373.3846180657729,1281.4115533039922,6.557377049180328,8402.698710190112,466.8165950105618,0.42713718443466403
guava,com.google.common.util.concurrent.TrustedListenableFutureTask,53,148,283.1207823616452,847.7322272753536,5.673469387755102,4809.582840460169,267.1990466922316,0.2825774090917845
guava,com.google.common.util.concurrent.WrappingScheduledExecutorService,31,108,147.20671786825557,535.0532015217826,0.0,0.0,0.0,0.17835106717392754
guava,com.google.common.util.concurrent.RateLimiter,99,360,609.559556304883,2386.5683832286595,18.707865168539325,44647.59952894065,2480.422196052258,0.7955227944095532
guava,com.google.common.util.concurrent.AbstractExecutionThreadService,74,207,446.23460010384645,1285.3568466851927,2.8194444444444446,3623.9922205151965,201.33290113973314,0.4284522822283976
guava,com.google.common.util.concurrent.ThreadFactoryBuilder,65,233,369.7749775913361,1403.2117004356298,6.786885245901639,9523.436786563127,529.0798214757292,0.4677372334785433
guava,com.google.common.util.concurrent.AtomicLongMap,91,570,556.6061479678191,3709.4429449132567,18.178571428571427,67432.37353431598,3746.2429741286655,1.2364809816377522
guava,com.google.common.util.concurrent.FutureCallback,20,31,NaN,133.97977094150824,0.0,0.0,0.0,0.04465992364716941
guava,com.google.common.util.concurrent.UncaughtExceptionHandlers,44,88,233.3293844521902,480.42998244008214,0.0,0.0,0.0,0.16014332748002738
guava,com.google.common.util.concurrent.Platform,19,28,NaN,118.94197037642039,0.0,0.0,0.0,0.039647323458806796
guava,com.google.common.util.concurrent.AbstractService,159,761,1108.8753904977357,5565.103928971394,23.288590604026847,129603.4270706761,7200.190392815339,1.8550346429904647
guava,com.google.common.util.concurrent.ForwardingExecutorService,41,190,NaN,1017.934880877436,0.0,0.0,0.0,0.3393116269591453
guava,com.google.common.util.concurrent.CycleDetectingLockFactory,204,1039,1499.332350147116,7971.649930308384,29.90625,238402.1557282851,13244.56420712695,2.657216643436128
guava,com.google.common.util.concurrent.ForwardingBlockingDeque,37,174,NaN,906.4448856194373,0.0,0.0,0.0,0.3021482952064791
guava,com.google.common.util.concurrent.Service,42,100,NaN,539.231742277876,0.0,0.0,0.0,0.17974391409262536
guava,com.google.common.util.concurrent.AggregateFutureState,57,218,315.5188126189908,1271.5700230879138,3.759259259259259,4780.1613830897495,265.56452128276385,0.4238566743626379
guava,com.google.common.util.concurrent.ListeningScheduledExecutorService,29,75,NaN,364.34857463456797,0.0,0.0,0.0,0.12144952487818932
guava,com.google.common.util.concurrent.UncheckedTimeoutException,19,39,75.05865002596161,165.66917302429982,0.0,0.0,0.0,0.05522305767476661
guava,com.google.common.util.concurrent.ExecutionError,18,39,69.48686830125578,162.62707505625016,0.0,0.0,0.0,0.05420902501875005
guava,com.google.common.util.concurrent.Callables,54,178,303.5797840918496,1024.3699753850974,0.0,0.0,0.0,0.34145665846169915
guava,com.google.common.util.concurrent.AsyncCallable,15,27,NaN,105.48604608143,0.0,0.0,0.0,0.03516201536047667
guava,com.google.common.util.concurrent.FuturesGetChecked,147,494,1013.5328091085676,3556.638138349164,13.582733812949641,48308.86910218145,2683.826061232303,1.185546046116388
guava,com.google.common.util.concurrent.AbstractIdleService,69,200,408.42797576067073,1221.7048913556341,2.925373134328358,3573.9426672493178,198.55237040273988,0.40723496378521135
guava,com.google.common.util.concurrent.CombinedFuture,71,246,418.7023607071866,1512.837791398152,3.4411764705882355,5205.941811575994,289.2189895319996,0.5042792637993839
guava,com.google.common.util.concurrent.Striped,142,709,943.1372703609895,5069.170707728819,40.12698412698413,203410.5325260072,11300.585140333735,1.6897235692429398
guava,com.google.common.util.concurrent.Futures,189,1097,1395.9450403889273,8295.779939370517,11.695652173913043,97024.55668220301,5390.253149011278,2.7652599797901725
guava,com.google.common.util.concurrent.Partially,24,49,NaN,224.66316253533668,0.0,0.0,0.0,0.07488772084511222
guava,com.google.common.util.concurrent.ForwardingListeningExecutorService,22,60,NaN,267.56589711823784,0.0,0.0,0.0,0.08918863237274595
guava,com.google.common.util.concurrent.AbstractTransformFuture,80,405,482.84249102171253,2560.3808784293815,10.131578947368421,25940.70100513979,1441.1500558410994,0.8534602928097939
guava,com.google.common.util.concurrent.ListenableFuture,17,32,NaN,130.79881092001088,0.0,0.0,0.0,0.04359960364000363
guava,com.google.common.util.concurrent.Monitor,127,981,823.9831916617227,6855.899677723495,50.48672566371682,346131.92620719067,19229.551455955036,2.2852998925744985
guava,com.google.common.util.concurrent.ListenableFutureTask,32,86,153.58008562199316,430.0,0.0,0.0,0.0,0.14333333333333334
guava,com.google.common.util.concurrent.ListenerCallQueue,82,273,490.35226602603944,1735.6116972607372,9.868421052631579,17127.747012441487,951.5415006911937,0.5785372324202457
guava,com.google.common.util.concurrent.UncheckedExecutionException,19,39,75.05865002596161,165.66917302429982,0.0,0.0,0.0,0.05522305767476661
guava,com.google.common.util.concurrent.ListeningExecutorService,30,92,NaN,451.4339347959837,0.0,0.0,0.0,0.1504779782653279
guava,com.google.common.util.concurrent.CheckedFuture,25,60,NaN,278.63137138648347,0.0,0.0,0.0,0.09287712379549448
guava,com.google.common.util.concurrent.TimeoutFuture,58,176,318.76392511682735,1031.0046551424527,5.962962962962963,6147.842573256848,341.54680962538043,0.34366821838081757
guava,com.google.common.util.concurrent.package-info,9,13,NaN,41.20902501875006,0.0,0.0,0.0,0.013736341672916687
guava,com.google.common.hash.ChecksumHashFunction,46,124,238.08427195435365,684.9216825510696,2.6511627906976742,1815.8388793214401,100.87993774008001,0.2283072275170232
guava,com.google.common.hash.SipHashFunction,95,306,572.1478228104486,2010.3758161492701,17.927710843373493,36041.4363184351,2002.302017690839,0.6701252720497567
guava,com.google.common.hash.AbstractStreamingHashFunction,92,345,554.5385453275566,2250.6288748396696,19.695121951219512,44326.41015690325,2462.5783420501807,0.7502096249465565
guava,com.google.common.hash.Hashing,211,738,1547.4294111811741,5698.171201265903,26.871794871794872,153120.08766478632,8506.671536932574,1.8993904004219675
guava,com.google.common.hash.LittleEndianByteArray,103,298,638.2214477622555,1992.5771571005992,13.695652173913045,27289.643673334296,1516.0913151852387,0.6641923857001997
guava,com.google.common.hash.Crc32cHashFunction,288,305,2310.863256380787,2491.827125439905,3.1489361702127656,7846.60456521502,435.9224758452789,0.8306090418133018
guava,com.google.common.hash.HashCode,129,597,824.1706532984322,4185.702671487683,44.77064220183486,187396.59666843936,10410.92203713552,1.3952342238292277
guava,com.google.common.hash.Funnel,15,21,NaN,82.0447025077789,0.0,0.0,0.0,0.02734823416925963
guava,com.google.common.hash.HashingOutputStream,32,76,153.58008562199316,380.0,0.0,0.0,0.0,0.12666666666666668
guava,com.google.common.hash.PrimitiveSink,36,63,NaN,325.70527509086565,0.0,0.0,0.0,0.10856842503028855
guava,com.google.common.hash.AbstractByteHasher,58,178,318.76392511682735,1042.7206171327077,6.37037037037037,6642.5165239565085,369.0286957753616,0.34757353904423594
