file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/euclidean/twod/SubLine.java,org.apache.commons.math3.geometry.euclidean.twod.SubLine,class,24,26,2,0,28,45,10,8,1,1,0,1,2,198
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/distribution/BinomialDistribution.java,org.apache.commons.math3.distribution.BinomialDistribution,class,7,28,2,0,4,0,12,12,0,3,0,1,2,182
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/analysis/TrivariateFunction.java,org.apache.commons.math3.analysis.TrivariateFunction,interface,0,1,1,0,0,0,1,0,0,0,0,0,0,33
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/partitioning/AbstractRegion.java,org.apache.commons.math3.geometry.partitioning.AbstractRegion,class,26,94,1,0,56,427,31,19,0,4,0,0,0,448
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/ConvergenceChecker.java,org.apache.commons.math3.optimization.ConvergenceChecker,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,55
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/fitting/CurveFitter.java,org.apache.commons.math3.fitting.CurveFitter,class,17,16,1,3,15,16,11,11,0,3,0,0,0,215
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/euclidean/oned/Euclidean1D.java,org.apache.commons.math3.geometry.euclidean.oned.Euclidean1D,class,4,6,2,0,0,13,6,4,1,3,0,3,0,84
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/euclidean/oned/SubOrientedPoint.java,org.apache.commons.math3.geometry.euclidean.oned.SubOrientedPoint,class,12,9,2,0,3,15,6,5,0,0,0,0,0,67
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/Vector.java,org.apache.commons.math3.geometry.Vector,interface,3,19,1,0,0,171,19,0,0,0,0,0,0,132
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/ml/neuralnet/sofm/LearningFactorFunctionFactory.java,org.apache.commons.math3.ml.neuralnet.sofm.LearningFactorFunctionFactory,class,6,9,1,0,2,0,3,2,2,2,0,0,0,108
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/stat/descriptive/StorelessUnivariateStatistic.java,org.apache.commons.math3.stat.descriptive.StorelessUnivariateStatistic,interface,3,7,1,0,0,21,7,0,0,0,0,0,0,77
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/direct/PowellOptimizer.java,org.apache.commons.math3.optimization.direct.PowellOptimizer,class,17,33,4,0,19,30,8,5,0,7,0,3,6,320
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/linear/FieldMatrixPreservingVisitor.java,org.apache.commons.math3.linear.FieldMatrixPreservingVisitor,interface,2,3,1,0,0,3,3,0,0,0,0,0,0,51
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/transform/DstNormalization.java,org.apache.commons.math3.transform.DstNormalization,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,54
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/analysis/solvers/BracketedUnivariateSolver.java,org.apache.commons.math3.analysis.solvers.BracketedUnivariateSolver,interface,3,2,1,0,0,1,2,0,0,0,0,0,0,86
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/exception/DimensionMismatchException.java,org.apache.commons.math3.exception.DimensionMismatchException,class,2,3,7,0,1,1,3,3,0,2,0,1,2,59
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optim/linear/NoFeasibleSolutionException.java,org.apache.commons.math3.optim.linear.NoFeasibleSolutionException,class,1,1,2,0,0,0,1,1,0,1,0,1,0,34
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/analysis/interpolation/TricubicSplineInterpolator.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolator,class,9,31,1,0,7,3,3,1,0,0,0,0,3,183
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/random/RandomGenerator.java,org.apache.commons.math3.random.RandomGenerator,interface,2,11,1,0,0,55,11,0,0,0,0,0,0,134
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/transform/DctNormalization.java,org.apache.commons.math3.transform.DctNormalization,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,64
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optim/univariate/SearchInterval.java,org.apache.commons.math3.optim.univariate.SearchInterval,class,5,9,1,0,0,4,5,5,0,3,0,0,0,89
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/analysis/function/Atanh.java,org.apache.commons.math3.analysis.function.Atanh,class,4,3,1,0,4,3,3,3,0,0,0,0,2,47
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/stat/correlation/SpearmansCorrelation.java,org.apache.commons.math3.stat.correlation.SpearmansCorrelation,class,11,35,1,0,20,44,12,9,0,3,0,0,1,233
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/util/Combinations.java,org.apache.commons.math3.util.Combinations,class,11,47,1,0,7,0,17,15,0,12,0,1,8,378
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/ode/nonstiff/GraggBulirschStoerIntegrator.java,org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator,class,9,153,3,0,38,56,13,9,0,19,0,1,4,799
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/euclidean/threed/Line.java,org.apache.commons.math3.geometry.euclidean.threed.Line,class,15,28,1,0,18,76,21,21,0,4,0,1,2,237
